(S000221, S000160)
(S000220, S000187)
(S000220, S000200)
(S000167, S000187)
(S000167, S000200)
(S000042, S000187)
(S000042, S000200)
(S000082, S000187)
(S000082, S000200)
(S000159, S000187)
(S000159, S000200)
(S000151, S000187)
(S000151, S000200)
(S000211, S000015)
(S000034, S000202)
(S000035, S000202)
(S000036, S000202)
(S000037, S000202)
(S000078, S000202)
(S000079, S000202)
(S000088, S000202)
(S000089, S000202)
(S000181, S000202)
(S000218, S000202)
(S000074, S000020)
(S000074, S000025)
(S000074, S000026)
(S000074, S000027)
(S000074, S000028)
(S000074, S000033)
(S000074, S000034)
(S000074, S000062)
(S000074, S000112)
(S000074, S000113)
(S000074, S000114)
(S000074, S000115)
(S000074, S000116)
(S000074, S000117)
(S000074, S000119)
(S000074, S000121)
(S000074, S000125)
(S000074, S000126)
(S000074, S000127)
(S000074, S000128)
(S000074, S000132)
(S000074, S000142)
(S000074, S000146)
(S000074, S000147)
(S000074, S000148)
(S000074, S000158)
(S000074, S000170)
(S000074, S000176)
(S000074, S000198)
(S000074, S000201)
(S000074, S000202)
(S000074, S000205)
(S000074, S000210)
(S000075, S000002)
(S000075, S000020)
(S000075, S000025)
(S000075, S000026)
(S000075, S000027)
(S000075, S000028)
(S000075, S000033)
(S000075, S000034)
(S000075, S000062)
(S000075, S000112)
(S000075, S000113)
(S000075, S000114)
(S000075, S000115)
(S000075, S000116)
(S000075, S000117)
(S000075, S000119)
(S000075, S000121)
(S000075, S000125)
(S000075, S000126)
(S000075, S000127)
(S000075, S000128)
(S000075, S000132)
(S000075, S000142)
(S000075, S000146)
(S000075, S000147)
(S000075, S000148)
(S000075, S000158)
(S000075, S000170)
(S000075, S000176)
(S000075, S000198)
(S000075, S000201)
(S000075, S000202)
(S000075, S000205)
(S000075, S000210)
(S000107, S000075)
(S000168, S000075)
(S000169, S000075)
(S000176, S000075)
(S000197, S000075)
(S000042, S000159)
(S000082, S000159)
(S000045, S000159)
(S000045, S000187)
(S000045, S000200)
(S000045, S000188)
(S000045, S000166)
(S000045, S000199)
(S000008, S000002)
(S000008, S000189)
(S000051, S000002)
(S000051, S000189)
(S000118, S000002)
(S000118, S000020)
(S000118, S000189)
(S000152, S000199)
(S000152, S000166)
(S000118, S000187)
(S000118, S000200)
(S000118, S000047)
(S000118, S000188)
(S000051, S000188)
(S000051, S000011)
(S000051, S000047)
(S000049, S000011)
(S000049, S000051)
(S000049, S000144)
(S000049, S000187)
(S000049, S000199)
(S000049, S000213)
(S000045, S000042)
(S000159, S000042)
(S000042, S000166)
(S000042, S000199)
(S000082, S000166)
(S000082, S000199)
(S000159, S000166)
(S000159, S000199)
(S000042, S000151)
(S000045, S000151)
(S000082, S000151)
(S000159, S000151)
(S000042, S000160)
(S000045, S000160)
(S000082, S000160)
(S000159, S000160)
(S000042, S000150)
(S000045, S000150)
(S000082, S000150)
(S000159, S000150)
(S000042, S000167)
(S000045, S000167)
(S000082, S000167)
(S000159, S000167)
(S000118, S000011)
(S000118, S000012)
(S000019, S000015)
(S000217, S000187)
(S000192, S000002)
(S000192, S000020)
(S000192, S000025)
(S000192, S000026)
(S000192, S000027)
(S000192, S000028)
(S000192, S000033)
(S000192, S000034)
(S000192, S000062)
(S000192, S000146)
(S000192, S000147)
(S000192, S000148)
(S000192, S000158)
(S000192, S000198)
(S000192, S000202)
(S000192, S000210)
(S000074, S000020)
(S000074, S000025)
(S000074, S000026)
(S000074, S000027)
(S000074, S000028)
(S000074, S000033)
(S000074, S000034)
(S000074, S000062)
(S000074, S000112)
(S000074, S000113)
(S000074, S000114)
(S000074, S000115)
(S000074, S000116)
(S000074, S000117)
(S000074, S000119)
(S000074, S000121)
(S000074, S000125)
(S000074, S000126)
(S000074, S000127)
(S000074, S000128)
(S000074, S000132)
(S000074, S000142)
(S000074, S000146)
(S000074, S000147)
(S000074, S000148)
(S000074, S000158)
(S000074, S000170)
(S000074, S000176)
(S000074, S000198)
(S000074, S000201)
(S000074, S000202)
(S000074, S000205)
(S000074, S000210)
(S000038, S000035)
(S000039, S000035)
(S000040, S000035)
(S000149, S000035)
(S000153, S000035)
(S000173, S000035)
(S000196, S000035)
(S000100, S000187)
(S000100, S000189)
(S000100, S000015)
(S000100, S000188)
(S000115, S000170)
(S000100, S000011)
(S000100, S000199)
(S000217, S000166)
